iter	Logloss
0	0.6545447388
1	0.625640625
2	0.5854091797
3	0.5573707886
4	0.5293289795
5	0.5075942383
6	0.4791121521
7	0.4611974792
8	0.4426120605
9	0.4317722778
10	0.421482605
11	0.4062062683
12	0.3926739502
13	0.3827047119
14	0.3714264526
15	0.3601257935
16	0.3509616394
17	0.3372342529
18	0.3286061401
19	0.3181637878
20	0.3144452515
21	0.3103909302
22	0.3038554382
23	0.2971673279
24	0.292369873
25	0.2870072632
26	0.2814546509
27	0.2763365479
28	0.2732279663
29	0.2687200928
30	0.267184906
31	0.2634691772
32	0.2593049316
33	0.2555727844
34	0.2503704376
35	0.2481859436
36	0.2466691895
37	0.2449199219
38	0.2404658966
39	0.2391384583
40	0.2356518402
41	0.2315953369
42	0.2296283569
43	0.2282020874
44	0.2269998474
45	0.2253644562
46	0.2240744476
47	0.2226812744
48	0.2203874054
49	0.217904541
50	0.216416153
51	0.2150862427
52	0.2139939728
53	0.2113800659
54	0.2099968567
55	0.2084741211
56	0.2079610443
57	0.2065588684
58	0.2052489319
59	0.2034434662
60	0.2022182922
61	0.2016414795
62	0.1993106384
63	0.197682663
64	0.1969372101
65	0.1958607483
66	0.1944577637
67	0.1932367554
68	0.1929238586
69	0.1916482239
70	0.1895808105
71	0.1885785522
72	0.1876761627
73	0.1871831207
74	0.1866236267
75	0.1866209412
76	0.185646225
77	0.1849993591
78	0.1849369507
79	0.1843287659
80	0.1839896088
81	0.1834094391
82	0.18211409
83	0.1812743378
84	0.1804408722
85	0.1798987427
86	0.1791960907
87	0.1786455688
88	0.1780227661
89	0.1769706116
90	0.1761366425
91	0.1760575562
92	0.1751950073
93	0.1748202972
94	0.174805603
95	0.1739770203
96	0.1733762817
97	0.1730309448
98	0.1721799316
99	0.1711890564
100	0.1704920502
101	0.1701184082
102	0.1696836548
103	0.1683040466
104	0.1679718628
105	0.1676627045
106	0.1667357788
107	0.1663588867
108	0.1660291748
109	0.1660270996
110	0.1658955994
111	0.1658675232
112	0.165806488
113	0.1656510315
114	0.165026825
115	0.1646167908
116	0.1641463776
117	0.1637580414
118	0.1632346344
119	0.1623431702
120	0.1618707275
121	0.1614867096
122	0.1610877991
123	0.1606813965
124	0.1601369019
125	0.1593430786
126	0.1592813721
127	0.1588955383
128	0.1585046997
129	0.1584369812
130	0.1579549866
131	0.1578840027
132	0.1578114166
133	0.1565575867
134	0.1563968964
135	0.1561305084
136	0.1555716553
137	0.1551691589
138	0.1545873108
139	0.1544000702
140	0.1536795959
141	0.1533699036
142	0.1530787964
143	0.152859314
144	0.1526943817
145	0.1523052979
146	0.1517071381
147	0.1513884583
148	0.1507800598
149	0.1504089203
150	0.1503432159
151	0.1495413513
152	0.1495142212
153	0.1492106476
154	0.148847168
155	0.1485398712
156	0.1476754761
157	0.147036438
158	0.1465527039
159	0.1460469055
160	0.1455132294
161	0.145479126
162	0.144926178
163	0.1444985046
164	0.1443987885
165	0.1439337769
166	0.1434954529
167	0.1431890564
168	0.1427294617
169	0.1421811218
170	0.1420048523
171	0.1416253967
172	0.1410695801
173	0.1406580353
174	0.1402999878
175	0.1402573853
176	0.1397588806
177	0.1396010284
178	0.1395984192
179	0.1395264587
180	0.1392965393
181	0.1391860657
182	0.1390653076
183	0.1390540771
184	0.1390099487
185	0.1389034729
186	0.1384147949
187	0.1382961884
188	0.1378735352
189	0.1378448181
190	0.1377564697
191	0.1373728943
192	0.1373450012
193	0.137344696
194	0.1372156372
195	0.1368917084
196	0.1366903687
197	0.1362123718
198	0.135498291
199	0.1348375549
