iter	Passed	Remaining
0	1	381
1	4	415
2	6	420
3	8	420
4	10	420
5	12	417
6	15	415
7	17	415
8	19	413
9	20	393
10	22	391
11	24	389
12	26	388
13	29	387
14	31	386
15	33	386
16	35	386
17	40	405
18	42	405
19	44	403
20	46	392
21	47	385
22	49	380
23	51	375
24	53	371
25	54	367
26	56	363
27	58	360
28	60	356
29	62	352
30	63	344
31	64	341
32	66	339
33	68	336
34	70	333
35	72	329
36	73	325
37	75	323
38	77	320
39	79	316
40	80	313
41	82	311
42	84	308
43	86	306
44	87	302
45	89	300
46	91	298
47	93	295
48	94	292
49	96	290
50	98	287
51	100	285
52	102	283
53	104	281
54	106	279
55	107	277
56	109	274
57	111	272
58	112	269
59	114	267
60	116	264
61	117	261
62	119	258
63	120	256
64	122	254
65	124	252
66	125	249
67	127	247
68	128	244
69	130	242
70	132	240
71	134	238
72	135	236
73	137	233
74	138	231
75	139	227
76	140	225
77	143	223
78	146	224
79	148	222
80	150	221
81	152	219
82	154	217
83	155	215
84	157	213
85	158	210
86	160	208
87	162	206
88	164	204
89	166	202
90	167	200
91	168	198
92	170	196
93	172	194
94	173	191
95	174	189
96	176	187
97	178	185
98	180	183
99	181	181
100	183	180
101	185	178
102	187	176
103	188	174
104	190	172
105	192	170
106	193	168
107	195	166
108	197	164
109	198	162
110	199	159
111	200	157
112	202	155
113	203	153
114	204	151
115	206	149
116	208	147
117	210	146
118	211	144
119	213	142
120	215	140
121	216	138
122	218	136
123	219	134
124	221	133
125	223	131
126	224	129
127	226	127
128	228	125
129	229	123
130	231	121
131	232	119
132	233	117
133	235	115
134	236	113
135	238	112
136	240	110
137	241	108
138	243	106
139	245	105
140	247	103
141	248	101
142	250	99
143	252	98
144	253	96
145	254	94
146	256	92
147	258	90
148	260	89
149	261	87
150	262	85
151	264	83
152	265	81
153	267	79
154	269	78
155	271	76
156	272	74
157	274	72
158	276	71
159	277	69
160	279	67
161	280	65
162	282	64
163	283	62
164	285	60
165	286	58
166	288	56
167	289	55
168	291	53
169	293	51
170	295	50
171	296	48
172	298	46
173	300	44
174	302	43
175	303	41
176	305	39
177	307	37
178	308	36
179	310	34
180	312	32
181	313	31
182	315	29
183	316	27
184	317	25
185	318	23
186	320	22
187	321	20
188	323	18
189	324	17
190	326	15
191	327	13
192	328	11
193	329	10
194	330	8
195	332	6
196	334	5
197	336	3
198	337	1
199	339	0
